feature,chi2,p,n_target,n_reference,significant,fdr_p,fdr_significant,favors
ai,-322.677,0,377,800,TRUE,0,TRUE,Ireland
ireland,-236.147,0,0,173,TRUE,0,TRUE,Ireland
a.i,234.152,0,317,0,TRUE,0,TRUE,USA
says,-129.671,0,72,219,TRUE,0,TRUE,Ireland
openai,126.193,0,209,11,TRUE,0,TRUE,USA
irish,-111.76,0,0,82,TRUE,0,TRUE,Ireland
$,111.372,0,198,14,TRUE,0,TRUE,USA
cent,-94.021,0,0,69,TRUE,0,TRUE,Ireland
organisations,-94.021,0,0,69,TRUE,0,TRUE,Ireland
mr,93.734,0,191,20,TRUE,0,TRUE,USA
said,89.786,0,425,123,TRUE,0,TRUE,USA
per,-84.17,0,4,71,TRUE,0,TRUE,Ireland
billion,75.109,0,126,7,TRUE,0,TRUE,USA
genai,-73.563,0,0,54,TRUE,0,TRUE,Ireland
u.s,66.225,0,90,0,TRUE,0,TRUE,USA
altman,62.796,0,89,1,TRUE,0,TRUE,USA
adoption,-59.931,0,0,44,TRUE,0,TRUE,Ireland
deepseek,56.519,0,84,2,TRUE,0,TRUE,USA
eu,-55.873,0,4,50,TRUE,0,TRUE,Ireland
silicon,51.44,0,87,5,TRUE,0,TRUE,USA
€,-50.39,0,0,37,TRUE,0,TRUE,Ireland
business,-49.303,0,35,94,TRUE,0,TRUE,Ireland
valley,47.961,0,79,4,TRUE,0,TRUE,USA
dublin,-40.852,0,0,30,TRUE,0,TRUE,Ireland
digital,-40.579,0,20,65,TRUE,0,TRUE,Ireland
points,-40.033,0,2,34,TRUE,0,TRUE,Ireland
microsoft,39.145,0,73,6,TRUE,0,TRUE,USA
chinese,38.519,0,56,1,TRUE,0,TRUE,USA
education,-37.51,0,6,40,TRUE,0,TRUE,Ireland
centers,37.503,0,51,0,TRUE,0,TRUE,USA
skills,-37.175,0,9,45,TRUE,0,TRUE,Ireland
power,36.759,0,114,23,TRUE,0,TRUE,USA
company,34.433,0,163,47,TRUE,0,TRUE,USA
businesses,-34.328,0,19,58,TRUE,0,TRUE,Ireland
money,34.205,0,60,4,TRUE,0,TRUE,USA
survey,-33.262,0,4,33,TRUE,0,TRUE,Ireland
musk,33.088,0,45,0,TRUE,0,TRUE,USA
google,32.422,0,80,12,TRUE,0,TRUE,USA
potential,-31.563,0,37,79,TRUE,0,TRUE,Ireland
york,31.349,0,62,6,TRUE,0,TRUE,USA
deepmind,30.88,0,42,0,TRUE,0,TRUE,USA
openai's,30.88,0,42,0,TRUE,0,TRUE,USA
adds,-30.606,0,2,27,TRUE,0,TRUE,Ireland
startups,30.44,0,45,1,TRUE,0,TRUE,USA
