term,frequency,frame,entman_function,relative_freq
said,548,safety_security,Problem Definition,9.531760940652614
data,336,safety_security,Problem Definition,5.844291379670215
can,323,safety_security,Problem Definition,5.618172963194879
new,321,safety_security,Problem Definition,5.583385514506366
a.i,317,safety_security,Problem Definition,5.51381061712934
technology,293,safety_security,Problem Definition,5.096361232867182
says,291,safety_security,Problem Definition,5.061573784178668
companies,283,safety_security,Problem Definition,4.922423989424615
also,221,safety_security,Problem Definition,3.844013080080707
people,221,safety_security,Problem Definition,3.844013080080707
openai,220,safety_security,Problem Definition,3.82661935573645
one,215,safety_security,Problem Definition,3.7396507340151675
company,210,safety_security,Problem Definition,3.6526821122938844
use,210,safety_security,Problem Definition,3.6526821122938844
tech,209,safety_security,Problem Definition,3.6352883879496276
like,185,safety_security,Problem Definition,3.2178390036874696
intelligence,181,safety_security,Problem Definition,3.1482641063104433
ireland,173,safety_security,Problem Definition,3.0091143115563903
year,160,safety_security,Problem Definition,2.7829958950810547
work,156,safety_security,Problem Definition,2.7134209977040284
now,155,safety_security,Problem Definition,2.6960272733597717
artificial,153,safety_security,Problem Definition,2.6612398246712585
time,151,safety_security,Problem Definition,2.6264523759827454
many,147,safety_security,Problem Definition,2.556877478605719
years,143,safety_security,Problem Definition,2.4873025812286924
models,139,safety_security,Problem Definition,2.4177276838516666
power,137,safety_security,Problem Definition,2.3829402351631535
billion,133,safety_security,Problem Definition,2.3133653377861267
business,129,safety_security,Problem Definition,2.2437904404091005
just,128,safety_security,Problem Definition,2.226396716064844
said,548,uncertainty_unknown,Causal Interpretation,9.531760940652614
data,336,uncertainty_unknown,Causal Interpretation,5.844291379670215
can,323,uncertainty_unknown,Causal Interpretation,5.618172963194879
new,321,uncertainty_unknown,Causal Interpretation,5.583385514506366
a.i,317,uncertainty_unknown,Causal Interpretation,5.51381061712934
technology,293,uncertainty_unknown,Causal Interpretation,5.096361232867182
says,291,uncertainty_unknown,Causal Interpretation,5.061573784178668
companies,283,uncertainty_unknown,Causal Interpretation,4.922423989424615
also,221,uncertainty_unknown,Causal Interpretation,3.844013080080707
people,221,uncertainty_unknown,Causal Interpretation,3.844013080080707
openai,220,uncertainty_unknown,Causal Interpretation,3.82661935573645
one,215,uncertainty_unknown,Causal Interpretation,3.7396507340151675
company,210,uncertainty_unknown,Causal Interpretation,3.6526821122938844
use,210,uncertainty_unknown,Causal Interpretation,3.6526821122938844
tech,209,uncertainty_unknown,Causal Interpretation,3.6352883879496276
like,185,uncertainty_unknown,Causal Interpretation,3.2178390036874696
intelligence,181,uncertainty_unknown,Causal Interpretation,3.1482641063104433
ireland,173,uncertainty_unknown,Causal Interpretation,3.0091143115563903
year,160,uncertainty_unknown,Causal Interpretation,2.7829958950810547
work,156,uncertainty_unknown,Causal Interpretation,2.7134209977040284
now,155,uncertainty_unknown,Causal Interpretation,2.6960272733597717
artificial,153,uncertainty_unknown,Causal Interpretation,2.6612398246712585
time,151,uncertainty_unknown,Causal Interpretation,2.6264523759827454
many,147,uncertainty_unknown,Causal Interpretation,2.556877478605719
years,143,uncertainty_unknown,Causal Interpretation,2.4873025812286924
models,139,uncertainty_unknown,Causal Interpretation,2.4177276838516666
power,137,uncertainty_unknown,Causal Interpretation,2.3829402351631535
billion,133,uncertainty_unknown,Causal Interpretation,2.3133653377861267
business,129,uncertainty_unknown,Causal Interpretation,2.2437904404091005
just,128,uncertainty_unknown,Causal Interpretation,2.226396716064844
said,548,regulation_needed,Treatment Recommendation,9.531760940652614
data,336,regulation_needed,Treatment Recommendation,5.844291379670215
can,323,regulation_needed,Treatment Recommendation,5.618172963194879
new,321,regulation_needed,Treatment Recommendation,5.583385514506366
a.i,317,regulation_needed,Treatment Recommendation,5.51381061712934
technology,293,regulation_needed,Treatment Recommendation,5.096361232867182
says,291,regulation_needed,Treatment Recommendation,5.061573784178668
companies,283,regulation_needed,Treatment Recommendation,4.922423989424615
also,221,regulation_needed,Treatment Recommendation,3.844013080080707
people,221,regulation_needed,Treatment Recommendation,3.844013080080707
openai,220,regulation_needed,Treatment Recommendation,3.82661935573645
one,215,regulation_needed,Treatment Recommendation,3.7396507340151675
company,210,regulation_needed,Treatment Recommendation,3.6526821122938844
use,210,regulation_needed,Treatment Recommendation,3.6526821122938844
tech,209,regulation_needed,Treatment Recommendation,3.6352883879496276
like,185,regulation_needed,Treatment Recommendation,3.2178390036874696
intelligence,181,regulation_needed,Treatment Recommendation,3.1482641063104433
ireland,173,regulation_needed,Treatment Recommendation,3.0091143115563903
year,160,regulation_needed,Treatment Recommendation,2.7829958950810547
work,156,regulation_needed,Treatment Recommendation,2.7134209977040284
now,155,regulation_needed,Treatment Recommendation,2.6960272733597717
artificial,153,regulation_needed,Treatment Recommendation,2.6612398246712585
time,151,regulation_needed,Treatment Recommendation,2.6264523759827454
many,147,regulation_needed,Treatment Recommendation,2.556877478605719
years,143,regulation_needed,Treatment Recommendation,2.4873025812286924
models,139,regulation_needed,Treatment Recommendation,2.4177276838516666
power,137,regulation_needed,Treatment Recommendation,2.3829402351631535
billion,133,regulation_needed,Treatment Recommendation,2.3133653377861267
business,129,regulation_needed,Treatment Recommendation,2.2437904404091005
just,128,regulation_needed,Treatment Recommendation,2.226396716064844
said,548,innovation_progress,Treatment Recommendation,9.531760940652614
data,336,innovation_progress,Treatment Recommendation,5.844291379670215
can,323,innovation_progress,Treatment Recommendation,5.618172963194879
new,321,innovation_progress,Treatment Recommendation,5.583385514506366
a.i,317,innovation_progress,Treatment Recommendation,5.51381061712934
technology,293,innovation_progress,Treatment Recommendation,5.096361232867182
says,291,innovation_progress,Treatment Recommendation,5.061573784178668
companies,283,innovation_progress,Treatment Recommendation,4.922423989424615
also,221,innovation_progress,Treatment Recommendation,3.844013080080707
people,221,innovation_progress,Treatment Recommendation,3.844013080080707
openai,220,innovation_progress,Treatment Recommendation,3.82661935573645
one,215,innovation_progress,Treatment Recommendation,3.7396507340151675
company,210,innovation_progress,Treatment Recommendation,3.6526821122938844
