feature,chi2,p,n_target,n_reference,significant,fdr_p,fdr_significant,favors
ai,-322.677,0,377,800,TRUE,0,TRUE,Ireland
ireland,-236.147,0,0,173,TRUE,0,TRUE,Ireland
says,-129.671,0,72,219,TRUE,0,TRUE,Ireland
irish,-111.76,0,0,82,TRUE,0,TRUE,Ireland
cent,-94.021,0,0,69,TRUE,0,TRUE,Ireland
organisations,-94.021,0,0,69,TRUE,0,TRUE,Ireland
per,-84.17,0,4,71,TRUE,0,TRUE,Ireland
genai,-73.563,0,0,54,TRUE,0,TRUE,Ireland
adoption,-59.931,0,0,44,TRUE,0,TRUE,Ireland
eu,-55.873,0,4,50,TRUE,0,TRUE,Ireland
€,-50.39,0,0,37,TRUE,0,TRUE,Ireland
business,-49.303,0,35,94,TRUE,0,TRUE,Ireland
dublin,-40.852,0,0,30,TRUE,0,TRUE,Ireland
digital,-40.579,0,20,65,TRUE,0,TRUE,Ireland
points,-40.033,0,2,34,TRUE,0,TRUE,Ireland
education,-37.51,0,6,40,TRUE,0,TRUE,Ireland
skills,-37.175,0,9,45,TRUE,0,TRUE,Ireland
businesses,-34.328,0,19,58,TRUE,0,TRUE,Ireland
survey,-33.262,0,4,33,TRUE,0,TRUE,Ireland
potential,-31.563,0,37,79,TRUE,0,TRUE,Ireland
adds,-30.606,0,2,27,TRUE,0,TRUE,Ireland
act,-30.114,0,12,44,TRUE,0,TRUE,Ireland
centres,-29.954,0,0,22,TRUE,0,TRUE,Ireland
learning,-29.318,0,8,37,TRUE,0,TRUE,Ireland
sectors,-27.924,0,2,25,TRUE,0,TRUE,Ireland
