keyword,country,context,docname,from,to
automation,Ireland,could be transformed by gen AI either through [ automation ] or augmentation This translates into a potential productivity,text10,377,377
automation,Ireland,educational AI or forgo the potential benefits of [ automation ] altogether Of course general concerns related to AI,text24,698,698
automation,Ireland,Irish workers to the deployment of AI and [ automation ] with a lack of participation in lifelong learning,text29,649,649
automation,Ireland,and multinationals are just using it for the [ automation ] of repetitive tasks at present but not much,text33,447,447
automation,Ireland,companies to pass on the benefits of AI-driven [ automation ] to customers where it really matters their pockets,text36,743,743
automation,Ireland,fully integrated digital site with the latest machine [ automation ] manufacturing execution and data technologies designed to ensure,text37,561,561
automation,Ireland,AI is an enhanced version of robotic process [ automation ] and people will be able to understand it,text41,920,920
automation,Ireland,to evolve Cait Mulcahy head of capability and [ automation ] with Three Ireland takes an optimistic view Technological,text44,190,190
automation,Ireland,technology At Three we now employ robotic process [ automation ] specialists messaging bot developers and data scientists positions,text44,295,295
automation,Ireland,whether the impact of AI is simple like [ automation ] that machines do best or complex requiring machines,text44,526,526
automation,Ireland,the adoption of new technologies including AI and [ automation ] These programmes provide our employees with the time,text44,784,784
automation,Ireland,a UK and Ireland training programme focused on [ automation ] AI regulation and energy management,text47,874,874
algorithm,Ireland,In the US it was claimed that the [ algorithm ] Compas which is used to determine whether defendants,text5,162,162
algorithm,Ireland,do your auditing and go we have our [ algorithm ] set up now it's good to go forever,text12,486,486
algorithm,Ireland,become even more accurate over time as its [ algorithm ] improves The machine is like a child that,text19,545,545
algorithm,Ireland,single tool whether it’s a hammer or an [ algorithm ] can be used in a benign or malignant,text37,993,993
robot,Ireland,Adapt Centre was showcasing Swedish company Furhat’s social [ robot ] Looking a bit like a bust from Will,text49,639,639
robot,Ireland,bit like a bust from Will Smith’s I [ Robot ] with an internal projection displaying various facial expressions,text49,650,650
robot,Ireland,various facial expressions it might act like a [ robot ] concierge in a hotel room Nicholson suggested though,text49,664,664
intelligent,Ireland,also advancing at pace What started out as [ intelligent ] data retrieval tools have now gone much further,text26,972,972
intelligent,Ireland,to solve it we will create a super [ intelligent ] machine and there is a huge amount of,text34,114,114
intelligent,Ireland,of intelligence Those who believe a truly super [ intelligent ] machine is around the corner are way off,text34,827,827
intelligent,Ireland,submarine swim for example Is a calculator super [ intelligent ] A lot of hype has included some of,text34,859,859
intelligent,Ireland,what it would take to produce something really [ intelligent ] but reliability is a huge problem that people,text34,881,881
autonomous,Ireland,to command niche premiums including in sectors like [ autonomous ] driving selling to established car manufacturers Corporate buyers,text9,457,457
autonomous,Ireland,UK fintech industry and enabled the development of [ autonomous ] vehicles in Singapore Above all they illustrate how,text29,352,352
autonomous,Ireland,building on those capabilities of GenAI by introducing [ autonomous ] decision making and continuous feedback loops In the,text36,423,423
autonomous,Ireland,is not defined by content output but by [ autonomous ] co-ordination and task execution At NapthaAI he is,text40,584,584
chatbot,Ireland,health platform showed that responses co-written with a [ chatbot ] named Hailey were perceived as more empathetic than,text32,482,482
chatbot,Ireland,heard of apps such as ChatGPT a text-based [ chatbot ] that allows you to write essays or AI,text48,24,24
technology,Ireland,While Google claims that its Deep Mind AI [ technology ] makes its data centres up to 40pc less,text2,245,245
technology,Ireland,Irish set-ups start Some Irish companies offer AI [ technology ] that they claim make the operations of their,text2,266,266
technology,Ireland,has several large data-centre clients that use its [ technology ] Dublin-based GridBeyond does something similar using sensors on,text2,411,411
technology,Ireland,short and long term The application of advanced [ technology ] could push the success rate to around 80pc,text3,406,406
technology,Ireland,said 28pc of employers are now utilising the [ technology ] as its use gains traction among businesses The,text4,122,122
technology,Ireland,tools to hire staff have only introduced the [ technology ] within the past 12 months Companies confirmed they,text4,148,148
technology,Ireland,said they are aware of jobseekers using AI [ technology ] during the hiring process Just over 70pc of,text4,219,219
technology,Ireland,AI it's clear from our findings that the [ technology ] is having a significant impact in how employers,text4,297,297
technology,Ireland,4 organisations in Ireland are already leveraging the [ technology ] to drive change he said Mr Dooley added,text4,323,323
technology,Ireland,it became the latest chain to embrace the [ technology ] Already rivals there have been experimenting with the,text8,57,57
technology,Ireland,and it marks just another application of a [ technology ] that will bring significant societal opportunities challenges and,text8,85,85
technology,Ireland,to do to encourage students into Stem science [ technology ] engineering and mathematics subjects and particularly females into,text8,1209,1209
technology,Ireland,seeking greater detail on the use case for [ technology ] before committing capital into a space where a,text9,346,346
technology,Ireland,also broaden the pool of potential buyers for [ technology ] a market that had risked being cornered by,text9,396,396
technology,Ireland,premium if the case stacks up to buy [ technology ] including for internal transformation Ms Young said,text9,478,478
technology,Ireland,says Among those that have invested in the [ technology ] 91pc have yet to scale its use across,text10,144,144
technology,Ireland,for businesses However Magnier believes that if the [ technology ] is left unchecked it risks creating as many,text12,96,96
technology,Ireland,raise awareness about risks of reliance on the [ technology ] inspired the creation of the Ethical AI Centre,text12,305,305
technology,Ireland,insistent that humans remain linked to the new [ technology ] Where is the human in this Is there,text12,403,403
technology,Ireland,create awareness because sometimes policy doesn't catch up [ Technology ] accelerates faster than policy Magnier says Policy makers,text12,747,747
technology,Ireland,sexually explicit photos were created using AI deepfake [ technology ] to cast a slur on the victim's character,text13,27,27
technology,Ireland,Crime Bureau which specialises in forensic examination of [ technology ] Gardaí are making inquiries about it What was,text13,199,199
