country,frame1,frame2,temporal_correlation
USA,safety_security,privacy_concerns,0.283
USA,safety_security,ethical_concerns,0.227
USA,safety_security,job_displacement,-0.054
USA,safety_security,ai_capability,-0.024
USA,safety_security,human_vs_ai,-0.039
USA,safety_security,uncertainty_unknown,0.062
USA,safety_security,regulation_needed,0.76
USA,safety_security,innovation_progress,0.13
USA,safety_security,economic_benefits,-0.188
USA,privacy_concerns,ethical_concerns,0.056
USA,privacy_concerns,job_displacement,-0.071
USA,privacy_concerns,ai_capability,-0.041
USA,privacy_concerns,human_vs_ai,0.093
USA,privacy_concerns,uncertainty_unknown,0.049
USA,privacy_concerns,regulation_needed,-0.064
USA,privacy_concerns,innovation_progress,-0.103
USA,privacy_concerns,economic_benefits,-0.12
USA,ethical_concerns,job_displacement,-0.093
USA,ethical_concerns,ai_capability,0.165
USA,ethical_concerns,human_vs_ai,-0.062
USA,ethical_concerns,uncertainty_unknown,0.41
USA,ethical_concerns,regulation_needed,0.41
USA,ethical_concerns,innovation_progress,0.082
USA,ethical_concerns,economic_benefits,-0.232
USA,job_displacement,ai_capability,0.064
USA,job_displacement,human_vs_ai,-0.068
USA,job_displacement,uncertainty_unknown,-0.125
USA,job_displacement,regulation_needed,-0.128
USA,job_displacement,innovation_progress,-0.14
USA,job_displacement,economic_benefits,0.162
USA,ai_capability,human_vs_ai,0.023
USA,ai_capability,uncertainty_unknown,0.144
USA,ai_capability,regulation_needed,-0.035
USA,ai_capability,innovation_progress,0.029
USA,ai_capability,economic_benefits,-0.055
USA,human_vs_ai,uncertainty_unknown,-0.145
USA,human_vs_ai,regulation_needed,0.084
USA,human_vs_ai,innovation_progress,0.125
USA,human_vs_ai,economic_benefits,0.035
USA,uncertainty_unknown,regulation_needed,0.096
USA,uncertainty_unknown,innovation_progress,0.24
USA,uncertainty_unknown,economic_benefits,-0.114
USA,regulation_needed,innovation_progress,0.13
USA,regulation_needed,economic_benefits,-0.256
USA,innovation_progress,economic_benefits,-0.205
Ireland,safety_security,privacy_concerns,0.192
Ireland,safety_security,ethical_concerns,0.22
Ireland,safety_security,job_displacement,-0.125
Ireland,safety_security,ai_capability,-0.057
Ireland,safety_security,human_vs_ai,-0.157
Ireland,safety_security,uncertainty_unknown,0.015
Ireland,safety_security,regulation_needed,0.127
Ireland,safety_security,innovation_progress,0.084
Ireland,safety_security,economic_benefits,0.008
Ireland,privacy_concerns,ethical_concerns,0.614
Ireland,privacy_concerns,job_displacement,-0.084
Ireland,privacy_concerns,ai_capability,0.257
Ireland,privacy_concerns,human_vs_ai,-0.046
Ireland,privacy_concerns,uncertainty_unknown,-0.241
Ireland,privacy_concerns,regulation_needed,0.23
Ireland,privacy_concerns,innovation_progress,-0.161
Ireland,privacy_concerns,economic_benefits,0.101
Ireland,ethical_concerns,job_displacement,-0.075
Ireland,ethical_concerns,ai_capability,0.562
Ireland,ethical_concerns,human_vs_ai,-0.105
Ireland,ethical_concerns,uncertainty_unknown,-0.145
Ireland,ethical_concerns,regulation_needed,0.366
Ireland,ethical_concerns,innovation_progress,-0.056
Ireland,ethical_concerns,economic_benefits,-0.12
Ireland,job_displacement,ai_capability,-0.075
Ireland,job_displacement,human_vs_ai,0.816
Ireland,job_displacement,uncertainty_unknown,-0.082
Ireland,job_displacement,regulation_needed,-0.096
Ireland,job_displacement,innovation_progress,-0.048
Ireland,job_displacement,economic_benefits,-0.024
Ireland,ai_capability,human_vs_ai,-0.105
Ireland,ai_capability,uncertainty_unknown,0.077
Ireland,ai_capability,regulation_needed,0.237
Ireland,ai_capability,innovation_progress,0.086
Ireland,ai_capability,economic_benefits,-0.028
Ireland,human_vs_ai,uncertainty_unknown,-0.116
Ireland,human_vs_ai,regulation_needed,-0.079
Ireland,human_vs_ai,innovation_progress,-0.066
Ireland,human_vs_ai,economic_benefits,-0.012
Ireland,uncertainty_unknown,regulation_needed,0.139
Ireland,uncertainty_unknown,innovation_progress,0.19
Ireland,uncertainty_unknown,economic_benefits,-0.035
Ireland,regulation_needed,innovation_progress,0.265
Ireland,regulation_needed,economic_benefits,-0.003
Ireland,innovation_progress,economic_benefits,0.224
