topic,term,beta
1,ai,0.07294506596471437
1,says,0.018810128168969948
1,ireland,0.013561154460844223
1,data,0.010897496161198339
1,can,0.009330638337877221
1,business,0.009017266773212997
1,technology,0.007920466296888223
1,digital,0.006040236908902886
1,irish,0.0058835511265707754
1,per,0.0058835511265707754
2,can,0.018085022322310476
2,use,0.011072261072261069
2,ai,0.009985776934929474
2,like,0.009689463079293586
2,help,0.009590691794081632
2,tools,0.009491920508869657
2,using,0.008899292797597885
2,data,0.008109122515902184
2,said,0.007121409663782544
2,systems,0.006923867093358616
3,power,0.014123246183324056
3,new,0.01309310422976286
3,year,0.012165976471557777
3,years,0.011650905494777182
3,data,0.011444877104064942
3,around,0.00886952222016194
3,said,0.00876650802480582
3,going,0.008045408657312977
3,one,0.007427323485176258
3,time,0.007221295094464016
4,companies,0.014483015279012555
4,tech,0.01437963901006886
4,said,0.012415489900138523
4,technology,0.009314201831827481
4,intelligence,0.008487191680277879
4,first,0.008487191680277879
4,ai,0.007866934066615669
4,new,0.007039923915066053
4,europe,0.0069365476461223565
4,government,0.006833171377178657
5,a.i,0.02438968111126494
5,said,0.020851600596858803
5,openai,0.016928946113495467
5,company,0.013544695186672208
5,mr,0.011544910548094825
5,people,0.010160444259848935
5,billion,0.010160444259848935
5,companies,0.008160659621271566
5,google,0.00708385250819143
5,altman,0.006930022920608551
