term,frequency,country,relative_freq
says,219,Ireland,9.082614465826143
can,181,Ireland,7.506635700066357
data,179,Ireland,7.423689449236895
ireland,173,Ireland,7.174850696748507
technology,142,Ireland,5.889183808891838
said,123,Ireland,5.101194426011944
also,121,Ireland,5.018248175182482
new,114,Ireland,4.727936297279363
use,111,Ireland,4.603516921035169
business,94,Ireland,3.8984737889847376
one,86,Ireland,3.566688785666888
companies,86,Ireland,3.566688785666888
irish,82,Ireland,3.4007962840079626
people,82,Ireland,3.4007962840079626
intelligence,81,Ireland,3.3593231585932313
potential,79,Ireland,3.276376907763769
time,78,Ireland,3.234903782349038
per,71,Ireland,2.944591904445919
now,69,Ireland,2.8616456536164563
organisations,69,Ireland,2.8616456536164563
cent,69,Ireland,2.8616456536164563
artificial,66,Ireland,2.737226277372263
digital,65,Ireland,2.6957531519575317
need,65,Ireland,2.6957531519575317
many,63,Ireland,2.612806901128069
using,61,Ireland,2.5298606502986063
work,59,Ireland,2.446914399469144
businesses,58,Ireland,2.4054412740544127
just,57,Ireland,2.3639681486396813
used,54,Ireland,2.239548772395488
investment,54,Ireland,2.239548772395488
genai,54,Ireland,2.239548772395488
tools,52,Ireland,2.1566025215660254
already,52,Ireland,2.1566025215660254
innovation,51,Ireland,2.115129396151294
tech,50,Ireland,2.0736562707365627
see,49,Ireland,2.0321831453218313
around,49,Ireland,2.0321831453218313
like,49,Ireland,2.0321831453218313
generative,48,Ireland,1.9907100199071004
models,48,Ireland,1.9907100199071004
across,48,Ireland,1.9907100199071004
company,47,Ireland,1.9492368944923688
year,47,Ireland,1.9492368944923688
including,46,Ireland,1.9077637690776377
years,46,Ireland,1.9077637690776377
european,46,Ireland,1.9077637690776377
human,45,Ireland,1.8662906436629065
skills,45,Ireland,1.8662906436629065
act,44,Ireland,1.8248175182481752
may,44,Ireland,1.8248175182481752
adoption,44,Ireland,1.8248175182481752
help,43,Ireland,1.783344392833444
industry,43,Ireland,1.783344392833444
research,43,Ireland,1.783344392833444
development,42,Ireland,1.7418712674187127
even,42,Ireland,1.7418712674187127
systems,41,Ireland,1.7003981420039813
process,41,Ireland,1.7003981420039813
going,41,Ireland,1.7003981420039813
big,40,Ireland,1.6589250165892502
education,40,Ireland,1.6589250165892502
technologies,39,Ireland,1.617451891174519
still,38,Ireland,1.5759787657597877
example,38,Ireland,1.5759787657597877
customer,38,Ireland,1.5759787657597877
chatgpt,37,Ireland,1.5345056403450563
learning,37,Ireland,1.5345056403450563
focus,36,Ireland,1.4930325149303252
first,36,Ireland,1.4930325149303252
support,36,Ireland,1.4930325149303252
impact,36,Ireland,1.4930325149303252
risk,35,Ireland,1.4515593895155938
last,35,Ireland,1.4515593895155938
way,35,Ireland,1.4515593895155938
according,34,Ireland,1.4100862641008625
points,34,Ireland,1.4100862641008625
sector,33,Ireland,1.3686131386861315
make,33,Ireland,1.3686131386861315
survey,33,Ireland,1.3686131386861315
europe,33,Ireland,1.3686131386861315
benefits,33,Ireland,1.3686131386861315
healthcare,33,Ireland,1.3686131386861315
without,33,Ireland,1.3686131386861315
key,33,Ireland,1.3686131386861315
lead,32,Ireland,1.3271400132714002
well,32,Ireland,1.3271400132714002
regulatory,32,Ireland,1.3271400132714002
system,32,Ireland,1.3271400132714002
market,32,Ireland,1.3271400132714002
future,32,Ireland,1.3271400132714002
must,32,Ireland,1.3271400132714002
think,31,Ireland,1.2856668878566688
health,31,Ireland,1.2856668878566688
legal,31,Ireland,1.2856668878566688
it’s,31,Ireland,1.2856668878566688
role,30,Ireland,1.2441937624419377
every,30,Ireland,1.2441937624419377
better,30,Ireland,1.2441937624419377
risks,30,Ireland,1.2441937624419377
