term,frequency,country,relative_freq
said,425,USA,12.732174955062911
a.i,317,USA,9.496704613541043
openai,209,USA,6.2612342720191725
new,207,USA,6.201318154583583
companies,197,USA,5.901737567405632
company,163,USA,4.883163571000599
tech,159,USA,4.7633313361294185
data,157,USA,4.703415218693829
technology,151,USA,4.5236668663870585
can,142,USA,4.254044337926902
people,139,USA,4.164170161773518
like,136,USA,4.0742959856201315
one,129,USA,3.8645895745955663
billion,126,USA,3.7747153984421806
power,114,USA,3.4152186938286397
year,113,USA,3.3852606351108445
intelligence,100,USA,2.995805871779509
also,100,USA,2.995805871779509
use,99,USA,2.9658478130617136
years,97,USA,2.9059316956261236
work,97,USA,2.9059316956261236
models,91,USA,2.726183343319353
u.s,90,USA,2.6962252846015575
last,89,USA,2.6662672258837627
altman,89,USA,2.6662672258837627
artificial,87,USA,2.6063511084481727
silicon,87,USA,2.6063511084481727
now,86,USA,2.5763930497303775
two,86,USA,2.5763930497303775
many,84,USA,2.5164769322947875
deepseek,84,USA,2.5164769322947875
google,80,USA,2.396644697423607
chief,79,USA,2.366686638705812
valley,79,USA,2.366686638705812
million,78,USA,2.336728579988017
even,76,USA,2.2768124625524266
microsoft,73,USA,2.1869382863990414
time,73,USA,2.1869382863990414
says,72,USA,2.1569802276812466
just,71,USA,2.127022168963451
executive,69,USA,2.067106051527861
investors,69,USA,2.067106051527861
model,68,USA,2.0371479928100658
first,63,USA,1.8873576992210903
york,62,USA,1.8573996405032953
make,62,USA,1.8573996405032953
tools,62,USA,1.8573996405032953
much,61,USA,1.8274415817855003
systems,60,USA,1.797483523067705
according,60,USA,1.797483523067705
money,60,USA,1.797483523067705
chatgpt,59,USA,1.76752546434991
get,58,USA,1.737567405632115
world,57,USA,1.7076093469143199
venture,56,USA,1.6776512881965249
chinese,56,USA,1.6776512881965249
times,55,USA,1.6476932294787299
help,55,USA,1.6476932294787299
capital,55,USA,1.6476932294787299
build,54,USA,1.6177351707609346
research,54,USA,1.6177351707609346
big,54,USA,1.6177351707609346
including,54,USA,1.6177351707609346
funding,53,USA,1.5877771120431396
used,53,USA,1.5877771120431396
using,53,USA,1.5877771120431396
software,52,USA,1.5578190533253446
centers,51,USA,1.5278609946075494
made,50,USA,1.4979029358897544
employees,49,USA,1.4679448771719592
startup,48,USA,1.437986818454164
industry,47,USA,1.408028759736369
next,45,USA,1.3481126423007788
whether,45,USA,1.3481126423007788
musk,45,USA,1.3481126423007788
need,45,USA,1.3481126423007788
startups,45,USA,1.3481126423007788
researchers,44,USA,1.3181545835829838
around,44,USA,1.3181545835829838
chips,44,USA,1.3181545835829838
government,43,USA,1.2881965248651888
may,43,USA,1.2881965248651888
deepmind,42,USA,1.2582384661473938
still,42,USA,1.2582384661473938
china,42,USA,1.2582384661473938
openai's,42,USA,1.2582384661473938
might,41,USA,1.2282804074295985
meta,41,USA,1.2282804074295985
become,41,USA,1.2282804074295985
products,40,USA,1.1983223487118035
chatbot,40,USA,1.1983223487118035
start-up,40,USA,1.1983223487118035
building,40,USA,1.1983223487118035
future,40,USA,1.1983223487118035
public,40,USA,1.1983223487118035
firm,40,USA,1.1983223487118035
top,40,USA,1.1983223487118035
say,39,USA,1.1683642899940085
making,39,USA,1.1683642899940085
called,39,USA,1.1683642899940085
