document,topic,gamma
text1,1,0.0695970695970696
text1,2,0.14652014652014653
text1,3,0.029304029304029304
text1,4,0.05860805860805861
text1,5,0.03296703296703297
text1,6,0.02564102564102564
text1,7,0.4432234432234432
text1,8,0.09523809523809523
text1,9,0.029304029304029304
text1,10,0.0695970695970696
text2,1,0.12151394422310757
text2,2,0.07768924302788845
text2,3,0.1294820717131474
text2,4,0.043824701195219126
text2,5,0.07171314741035857
text2,6,0.2290836653386454
text2,7,0.12749003984063745
text2,8,0.05179282868525897
text2,9,0.06374501992031872
text2,10,0.08366533864541832
text3,1,0.39862542955326463
text3,2,0.08247422680412371
text3,3,0.14776632302405499
text3,4,0.03436426116838488
text3,5,0.048109965635738834
text3,6,0.03436426116838488
text3,7,0.054982817869415807
text3,8,0.08247422680412371
text3,9,0.054982817869415807
text3,10,0.061855670103092786
text4,1,0.09393939393939393
text4,2,0.18484848484848485
text4,3,0.06060606060606061
text4,4,0.03636363636363636
text4,5,0.02727272727272727
text4,6,0.03333333333333333
text4,7,0.08484848484848485
text4,8,0.4090909090909091
text4,9,0.01818181818181818
text4,10,0.051515151515151514
text5,1,0.1377551020408163
text5,2,0.08673469387755102
text5,3,0.04336734693877551
text5,4,0.03571428571428571
text5,5,0.09948979591836735
text5,6,0.04591836734693878
text5,7,0.3137755102040816
text5,8,0.16326530612244897
text5,9,0.04081632653061224
text5,10,0.03316326530612245
text6,1,0.03125
text6,2,0.0375
text6,3,0.47291666666666665
text6,4,0.035416666666666666
text6,5,0.014583333333333334
text6,6,0.07083333333333333
text6,7,0.11666666666666667
text6,8,0.04375
text6,9,0.03125
text6,10,0.14583333333333334
text7,1,0.02557544757033248
text7,2,0.0639386189258312
text7,3,0.05115089514066496
text7,4,0.028132992327365727
text7,5,0.03580562659846547
text7,6,0.04859335038363171
text7,7,0.23273657289002558
text7,8,0.45012787723785164
text7,9,0.03324808184143223
text7,10,0.030690537084398978
text8,1,0.09482758620689655
text8,2,0.24568965517241378
text8,3,0.1824712643678161
text8,4,0.028735632183908046
text8,5,0.04310344827586207
text8,6,0.10201149425287356
text8,7,0.125
text8,8,0.08764367816091954
text8,9,0.028735632183908046
text8,10,0.0617816091954023
text9,1,0.050473186119873815
text9,2,0.17034700315457413
text9,3,0.08517350157728706
text9,4,0.025236593059936908
text9,5,0.04100946372239748
text9,6,0.14511041009463724
text9,7,0.22082018927444794
text9,8,0.05362776025236593
text9,9,0.06624605678233439
text9,10,0.14195583596214512
text10,1,0.030379746835443037
text10,2,0.46582278481012657
text10,3,0.0810126582278481
text10,4,0.02278481012658228
