"","safety_security","privacy_concerns","ethical_concerns","job_displacement","ai_capability","human_vs_ai","uncertainty_unknown","regulation_needed","innovation_progress","economic_benefits"
"safety_security",1,0.0816770494676580,0.182638678859172,0.0276394996411391,0.240296187531675,0.0805822964025381,0.29857422480515,0.234732142071209,0.147894773329307,0.0810892854427815
"privacy_concerns",0.0816770494676580,1,0.0405963855008851,-0.0935999529326069,0.129926869234491,0.101358552826109,0.274909687929665,0.220923067014154,0.00894355645409988,-0.113558585848397
"ethical_concerns",0.182638678859172,0.0405963855008851,1,-0.13656999298608,-0.0590979481035798,0.00612563891831684,0.16107385548374,0.222234867096263,0.270523704965311,-0.390938707811674
"job_displacement",0.0276394996411391,-0.0935999529326069,-0.13656999298608,1,0.0300828418798094,-0.0685994340570035,-0.143486010795888,-0.118079397009046,-0.196722368841158,0.045415152695787
"ai_capability",0.240296187531675,0.129926869234491,-0.0590979481035798,0.0300828418798094,1,0.29819972656439,0.199174118977165,0.283353376244413,0.221332000061022,0.0325159612083753
"human_vs_ai",0.0805822964025381,0.101358552826109,0.00612563891831684,-0.0685994340570035,0.29819972656439,1,-0.167332005306815,0.243628485012893,0.0286769667338202,0.100629156853151
"uncertainty_unknown",0.29857422480515,0.274909687929665,0.16107385548374,-0.143486010795888,0.199174118977165,-0.167332005306815,1,0.082293316508058,0.198798080201317,0.167751760574118
"regulation_needed",0.234732142071209,0.220923067014154,0.222234867096263,-0.118079397009046,0.283353376244413,0.243628485012893,0.082293316508058,1,0.179219578977139,-0.0603085553997196
"innovation_progress",0.147894773329307,0.00894355645409988,0.270523704965311,-0.196722368841158,0.221332000061022,0.0286769667338202,0.198798080201317,0.179219578977139,1,0.0151880999133169
"economic_benefits",0.0810892854427815,-0.113558585848397,-0.390938707811674,0.045415152695787,0.0325159612083753,0.100629156853151,0.167751760574118,-0.0603085553997196,0.0151880999133169,1
